number,code,price
18144,P,2600
18155,P,2600
18166,P,2600
19122,P,2600
19144,P,2600
19155,P,2600
21255,P,2600
21266,P,2600
21277,P,2600
21288,P,2600
22720,P,2600
31355,P,2600
31366,P,2600
31388,P,2600
31399,P,2600
37717,P,2600
39919,P,2600
41422,P,2600
41466,P,2600
41477,P,2600
41488,P,2600
44616,P,2600
44740,P,2600
44818,P,2600
46616,P,2600
49919,P,2600
51577,P,2600
51599,P,2600
55767,P,2600
61622,P,2600
61644,P,2600
66260,P,2600
66414,P,2600
71733,P,2600
71744,P,2600
71799,P,2600
74414,P,2600
75515,P,2600
77414,P,2600
81833,P,2600
81844,P,2600
81855,P,2600
82212,P,2600
85515,P,2600
91922,P,2600
91933,P,2600
94414,P,2600
99515,P,2600
22717,Q,2600
22720,Q,2600
40464,Q,2600
44121,Q,2600
44161,Q,2600
44535,Q,2600
44656,Q,2600
44717,Q,2600
44740,Q,2600
44818,Q,2600
44940,Q,2600
46044,Q,2600
55464,Q,2600
66260,Q,2600
66313,Q,2600
66414,Q,2600
66454,Q,2600
77141,Q,2600
88212,Q,2600
33979,R,2600
22620,T,2600
33063,T,2600
33161,T,2600
44161,T,2600
44535,T,2600
44616,T,2600
44656,T,2600
44717,T,2600
55191,T,2600
59055,T,2600
66212,T,2600
66414,T,2600
66454,T,2600
99515,T,2600
12282,U,2600
12292,U,2600
13155,U,2600
13166,U,2600
13177,U,2600
13353,U,2600
13363,U,2600
13373,U,2600
13383,U,2600
13393,U,2600
14166,U,2600
14474,U,2600
14484,U,2600
14494,U,2600
15133,U,2600
15525,U,2600
15535,U,2600
15585,U,2600
15595,U,2600
16133,U,2600
16144,U,2600
16543,U,2600
16626,U,2600
16646,U,2600
17122,U,2600
17133,U,2600
17144,U,2600
17155,U,2600
17654,U,2600
17737,U,2600
18133,U,2600
18155,U,2600
18838,U,2600
19133,U,2600
19144,U,2600
19155,U,2600
20242,U,2600
20252,U,2600
20262,U,2600
20272,U,2600
20282,U,2600
20292,U,2600
21244,U,2600
22141,U,2600
22151,U,2600
22171,U,2600
22181,U,2600
22515,U,2600
22616,U,2600
22717,U,2600
22919,U,2600
24414,U,2600
25515,U,2600
30373,U,2600
33151,U,2600
33161,U,2600
33171,U,2600
33181,U,2600
33191,U,2600
33414,U,2600
33515,U,2600
33730,U,2600
33930,U,2600
34564,U,2600
35515,U,2600
36616,U,2600
40464,U,2600
40474,U,2600
41477,U,2600
41488,U,2600
44121,U,2600
44161,U,2600
44171,U,2600
44181,U,2600
44191,U,2600
44616,U,2600
44740,U,2600
44840,U,2600
49919,U,2600
50575,U,2600
50585,U,2600
52212,U,2600
53313,U,2600
55181,U,2600
55191,U,2600
61633,U,2600
