code,number,price,city
U,58511,"AED3,000",duabi_new
U,59511,"AED3,000",duabi_new
U,60622,"AED3,000",duabi_new
U,60644,"AED3,000",duabi_new
U,61655,"AED3,000",duabi_new
U,62066,"AED3,000",duabi_new
U,64066,"AED3,000",duabi_new
U,64454,"AED3,000",duabi_new
U,64655,"AED3,000",duabi_new
U,65515,"AED3,000",duabi_new
U,65545,"AED3,000",duabi_new
U,65575,"AED3,000",duabi_new
U,65611,"AED3,000",duabi_new
U,65644,"AED3,000",duabi_new
U,65677,"AED3,000",duabi_new
U,66064,"AED3,000",duabi_new
U,66202,"AED3,000",duabi_new
U,66404,"AED3,000",duabi_new
U,66515,"AED3,000",duabi_new
U,66575,"AED3,000",duabi_new
U,66717,"AED3,000",duabi_new
U,67655,"AED3,000",duabi_new
U,67717,"AED3,000",duabi_new
U,67757,"AED3,000",duabi_new
U,68677,"AED3,000",duabi_new
U,68878,"AED3,000",duabi_new
U,72711,"AED3,000",duabi_new
U,73077,"AED3,000",duabi_new
U,74711,"AED3,000",duabi_new
U,75077,"AED3,000",duabi_new
U,75565,"AED3,000",duabi_new
U,75711,"AED3,000",duabi_new
U,75766,"AED3,000",duabi_new
U,76616,"AED3,000",duabi_new
U,76755,"AED3,000",duabi_new
U,77079,"AED3,000",duabi_new
U,77181,"AED3,000",duabi_new
U,77202,"AED3,000",duabi_new
U,77303,"AED3,000",duabi_new
U,77404,"AED3,000",duabi_new
U,78799,"AED3,000",duabi_new
U,78868,"AED3,000",duabi_new
U,79788,"AED3,000",duabi_new
U,82811,"AED3,000",duabi_new
U,83811,"AED3,000",duabi_new
U,84811,"AED3,000",duabi_new
U,85088,"AED3,000",duabi_new
U,85811,"AED3,000",duabi_new
U,86811,"AED3,000",duabi_new
U,86877,"AED3,000",duabi_new
U,87767,"AED3,000",duabi_new
U,87797,"AED3,000",duabi_new
U,87811,"AED3,000",duabi_new
U,88191,"AED3,000",duabi_new
U,88202,"AED3,000",duabi_new
U,88303,"AED3,000",duabi_new
U,88505,"AED3,000",duabi_new
U,88717,"AED3,000",duabi_new
U,88780,"AED3,000",duabi_new
U,88919,"AED3,000",duabi_new
U,97099,"AED3,000",duabi_new
U,97988,"AED3,000",duabi_new
U,99094,"AED3,000",duabi_new
U,99303,"AED3,000",duabi_new
U,99404,"AED3,000",duabi_new
U,99505,"AED3,000",duabi_new
U,99707,"AED3,000",duabi_new
V,34303,"AED3,000",duabi_new
V,44054,"AED3,000",duabi_new
W,33203,"AED3,000",duabi_new
W,40445,"AED3,000",duabi_new
W,44054,"AED3,000",duabi_new
W,44504,"AED3,000",duabi_new
W,45404,"AED3,000",duabi_new
W,54044,"AED3,000",duabi_new
W,54404,"AED3,000",duabi_new
W,54505,"AED3,000",duabi_new
W,55405,"AED3,000",duabi_new
W,56505,"AED3,000",duabi_new
W,66506,"AED3,000",duabi_new
W,67606,"AED3,000",duabi_new
X,30434,"AED3,000",duabi_new
X,31143,"AED3,000",duabi_new
X,31334,"AED3,000",duabi_new
X,33143,"AED3,000",duabi_new
X,33413,"AED3,000",duabi_new
X,33431,"AED3,000",duabi_new
X,33543,"AED3,000",duabi_new
X,34113,"AED3,000",duabi_new
X,34304,"AED3,000",duabi_new
X,34331,"AED3,000",duabi_new
X,34403,"AED3,000",duabi_new
X,35030,"AED3,000",duabi_new
X,36030,"AED3,000",duabi_new
X,37030,"AED3,000",duabi_new
X,38030,"AED3,000",duabi_new
X,39030,"AED3,000",duabi_new
X,40343,"AED3,000",duabi_new
X,40545,"AED3,000",duabi_new
X,40554,"AED3,000",duabi_new
X,41154,"AED3,000",duabi_new
X,41321,"AED3,000",duabi_new
X,41443,"AED3,000",duabi_new
X,43114,"AED3,000",duabi_new
X,43304,"AED3,000",duabi_new
X,43403,"AED3,000",duabi_new
X,44143,"AED3,000",duabi_new
X,44314,"AED3,000",duabi_new
X,44324,"AED3,000",duabi_new
X,44341,"AED3,000",duabi_new
X,44354,"AED3,000",duabi_new
X,44514,"AED3,000",duabi_new
X,44541,"AED3,000",duabi_new
X,44546,"AED3,000",duabi_new
X,44645,"AED3,000",duabi_new
X,45114,"AED3,000",duabi_new
X,45405,"AED3,000",duabi_new
X,45441,"AED3,000",duabi_new
X,45504,"AED3,000",duabi_new
X,46040,"AED3,000",duabi_new
X,47040,"AED3,000",duabi_new
X,48040,"AED3,000",duabi_new
X,49040,"AED3,000",duabi_new
X,50445,"AED3,000",duabi_new
X,50454,"AED3,000",duabi_new
X,50530,"AED3,000",duabi_new
X,50656,"AED3,000",duabi_new
X,50665,"AED3,000",duabi_new
X,51145,"AED3,000",duabi_new
X,51165,"AED3,000",duabi_new
X,53050,"AED3,000",duabi_new
X,54115,"AED3,000",duabi_new
X,54405,"AED3,000",duabi_new
X,54504,"AED3,000",duabi_new
X,54551,"AED3,000",duabi_new
X,55154,"AED3,000",duabi_new
X,55165,"AED3,000",duabi_new
X,55354,"AED3,000",duabi_new
X,55415,"AED3,000",duabi_new
X,55435,"AED3,000",duabi_new
X,55453,"AED3,000",duabi_new
X,55465,"AED3,000",duabi_new
X,55615,"AED3,000",duabi_new
X,55645,"AED3,000",duabi_new
X,55651,"AED3,000",duabi_new
X,55654,"AED3,000",duabi_new
X,55657,"AED3,000",duabi_new
X,55675,"AED3,000",duabi_new
X,55765,"AED3,000",duabi_new
X,56115,"AED3,000",duabi_new
X,56506,"AED3,000",duabi_new
X,56551,"AED3,000",duabi_new
X,56554,"AED3,000",duabi_new
X,56605,"AED3,000",duabi_new
X,57050,"AED3,000",duabi_new
X,58050,"AED3,000",duabi_new
X,59050,"AED3,000",duabi_new
X,60363,"AED3,000",duabi_new
X,60565,"AED3,000",duabi_new
X,60620,"AED3,000",duabi_new
X,60630,"AED3,000",duabi_new
X,60767,"AED3,000",duabi_new
X,61156,"AED3,000",duabi_new
X,61665,"AED3,000",duabi_new
X,61667,"AED3,000",duabi_new
X,61696,"AED3,000",duabi_new
X,63161,"AED3,000",duabi_new
X,63616,"AED3,000",duabi_new
X,65116,"AED3,000",duabi_new
X,65605,"AED3,000",duabi_new
X,65661,"AED3,000",duabi_new
X,66156,"AED3,000",duabi_new
X,66163,"AED3,000",duabi_new
X,66165,"AED3,000",duabi_new
X,66176,"AED3,000",duabi_new
X,66196,"AED3,000",duabi_new
X,66261,"AED3,000",duabi_new
X,66306,"AED3,000",duabi_new
X,66361,"AED3,000",duabi_new
X,66456,"AED3,000",duabi_new
X,66516,"AED3,000",duabi_new
X,66546,"AED3,000",duabi_new
X,66561,"AED3,000",duabi_new
X,66706,"AED3,000",duabi_new
